Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
33,0,-0.050287,0.041536,-1.237871,-1150.700684,-65.115685,1135.665527,0.028252,0.053277,1.455860,446.054565,-188.549332,1133.173462,0.076148,-0.258764,-1.365041,-1212.849243,39.027042,1324.793213,0.019822,-0.008131,1.585659,512.451843,-300.142212,1387.063599,-0.018004,0.177999,-1.160051,-1149.000366,-168.565262,1343.328491,0.098467,0.080975,1.591197,516.164185,-112.632553,1399.861816,0.013192,-0.300500,0.322096,-678.234497,-201.495239,1474.523804,-0.424258,1.107082,2.697842,66.921654,-36.141418,1469.460571
34,0,-0.025936,0.046907,-1.273154,-1150.808838,-65.701584,1135.412964,0.023384,0.060490,1.457375,445.972443,-188.600677,1133.000610,0.076982,-0.256036,-1.378260,-1211.747437,38.735512,1324.789551,0.018967,-0.008995,1.583683,512.090942,-299.832153,1387.070801,-0.017203,0.181422,-1.170496,-1149.558838,-169.399185,1343.110474,0.070091,0.073133,1.580039,515.501831,-112.482635,1400.223389,0.009724,-0.321325,0.327454,-687.297180,-202.182495,1476.934326,-0.409207,1.096401,2.727088,73.654198,-35.392090,1469.983643
35,0,-0.043250,0.052243,-1.277030,-1150.527344,-66.041840,1135.803833,0.023868,0.061819,1.460057,445.821320,-188.678162,1132.947510,0.085080,-0.247221,-1.444687,-1210.183105,38.925602,1325.020020,0.005064,-0.010223,1.564340,512.297974,-299.191406,1386.581299,-0.016779,0.191721,-1.187950,-1150.130737,-170.257507,1342.836548,0.062913,0.087895,1.575935,515.223694,-112.185341,1400.140259,0.007618,-0.344456,0.335316,-696.776611,-202.888824,1479.083862,-0.398172,1.105788,2.739219,81.169609,-34.753288,1470.696045
36,0,-0.045547,0.072699,-1.307623,-1150.891357,-66.710968,1135.666992,0.024234,0.063153,1.462270,445.643250,-188.712570,1132.893311,0.079201,-0.252873,-1.401051,-1209.497314,38.037319,1324.923584,0.008585,-0.009069,1.550975,511.716797,-298.962799,1386.335449,0.002785,0.196727,-1.207641,-1150.638306,-171.293716,1342.770508,0.072844,0.082680,1.576325,515.038940,-111.771553,1399.975464,-0.012790,-0.346011,0.372781,-706.575439,-204.281052,1481.582520,-0.385433,1.114048,2.750885,89.366745,-34.245190,1471.439209
37,0,-0.046221,0.059714,-1.295961,-1150.350464,-67.032318,1135.588379,0.023744,0.063803,1.463828,445.458099,-188.716537,1132.824707,0.080999,-0.252392,-1.404624,-1208.356201,37.561832,1324.846802,0.006483,-0.012707,1.546713,511.098511,-298.603943,1386.347900,-0.000702,0.193379,-1.213332,-1151.371460,-172.145966,1342.428223,0.085343,0.083498,1.579988,514.779785,-111.406845,1399.882813,-0.015364,-0.369293,0.377232,-716.838257,-205.275375,1483.432861,-0.373304,1.119045,2.759999,98.335159,-33.790516,1472.131714
38,0,-0.017341,0.049203,-1.333711,-1150.396362,-67.710014,1135.079834,0.023469,0.064560,1.464007,445.255005,-188.707474,1132.751343,0.083959,-0.245201,-1.462245,-1206.847900,37.604450,1324.973877,0.006221,-0.012540,1.545539,510.559021,-298.284607,1386.261230,0.000722,0.216998,-1.230955,-1151.659668,-173.082550,1342.424438,0.065469,0.079456,1.568544,514.460938,-110.986885,1399.672974,-0.021301,-0.397351,0.393548,-727.570740,-206.358002,1485.065796,-0.360330,1.142993,2.774352,107.257973,-33.584358,1473.098267
39,0,-0.014744,0.052768,-1.345060,-1150.490112,-68.420204,1134.831787,0.025577,0.064386,1.466308,445.088776,-188.612747,1132.585449,0.079807,-0.243400,-1.464772,-1205.666992,37.172386,1325.056519,0.005845,-0.012966,1.547039,510.092255,-297.958160,1386.171509,0.007216,0.214799,-1.241572,-1152.499023,-173.994965,1341.968872,0.078133,0.082774,1.575890,514.067993,-110.654892,1399.572754,-0.024509,-0.417874,0.400963,-738.470520,-207.434677,1486.721069,-0.353990,1.136814,2.797600,117.239075,-33.298611,1473.853394
40,0,-0.038015,0.050850,-1.332759,-1150.114624,-68.705864,1135.037598,0.022424,0.062385,1.465371,444.839752,-188.544495,1132.511719,0.084695,-0.241585,-1.466732,-1204.407715,36.521664,1325.033447,0.006059,-0.009392,1.547531,509.414978,-297.604675,1386.093750,0.006608,0.218049,-1.247118,-1153.363647,-175.004059,1341.496582,0.105280,0.077782,1.591300,513.619995,-110.457687,1399.693359,-0.029162,-0.439145,0.405678,-749.651428,-208.660873,1488.154663,-0.332251,1.135110,2.818337,127.738152,-33.020691,1474.657227
41,0,-0.067919,0.061847,-1.316368,-1150.313721,-69.509598,1134.932373,0.020303,0.061644,1.464927,444.603577,-188.458939,1132.422607,0.093905,-0.228146,-1.483392,-1203.033691,35.742794,1324.705688,0.002321,-0.012607,1.540877,508.745789,-297.220673,1385.994751,0.004859,0.218686,-1.251279,-1153.991577,-176.000671,1341.388428,0.089780,0.083082,1.583686,513.230591,-109.957047,1399.280640,-0.033123,-0.452657,0.421572,-761.105530,-210.200943,1489.474487,-0.299209,1.132977,2.834863,138.702957,-32.781208,1475.472534
42,0,-0.083658,0.060543,-1.308977,-1149.562744,-69.411964,1135.419067,0.019791,0.062679,1.465654,444.429504,-188.265060,1132.156250,0.085718,-0.238667,-1.493034,-1201.714111,35.551376,1325.043091,0.000577,-0.013725,1.540021,508.189728,-296.917328,1385.876587,0.003947,0.223987,-1.265945,-1154.952637,-177.030670,1340.952759,0.081902,0.081025,1.576507,512.751587,-109.580109,1399.017578,-0.043164,-0.483206,0.413627,-772.736755,-211.932343,1490.822876,-0.245696,1.160488,2.848714,150.029861,-32.809937,1475.874756
